topic_id,representative_idea,representative_why,primary_cat,all_categories,quality,num_unique_ideas,num_total_claims,num_speakers,num_videos,top_ideas,speakers,asset,market,freq,india
494,"For high-active-share strategies, fee differences between quant and non-quant funds were not statistically significant.",Active quant products did not retain a cost advantage.,MARKET_STRUCTURE,"[""STRATEGY"", ""MARKET_STRUCTURE""]",medium,9,14,6,6,"[M] For high-active-share strategies, fee differences between quant and non-quant funds were not statist | [M] Quantiacs says it is the world's first crowdsourced hedge fund, where quants submit strategies and t | [M] Quant funds averaged about 5 percentage points lower active share than non-quant funds, and only 21% | [M] Quantopian decided paper-trading algorithms can qualify for the hedge fund if they perform well and  | [M] He divides quant funds into three buckets: alternative-beta style factor exposures, traditional prop","[""Dan Dunn"", ""Eric Hamer"", ""Pierre Chabran"", ""Quantopian host and guest"", ""Thomas Wiecki"", ""unknown""]",equities,global,annual,adaptable
495,He argues zero-DTE is largely a risk-reducing phenomenon rather than an end-of-world market destabilizer.,Users employ it for more efficient hedging of existing exposures.,STRATEGY,"[""MICROSTRUCTURE"", ""STRATEGY"", ""MARKET_STRUCTURE"", ""RISK""]",high,12,14,6,6,"[H] He says zero-DTE likely reduces larger tail outcomes but increases one-day move potential through re | [H] He argues zero-DTE is largely a risk-reducing phenomenon rather than an end-of-world market destabil | [H] Zero-DTE options on SPY are now nearly half of all SPY options traded, and S&P 500 daily-expiry opti | [H] Zero-day options changed the economics of selling 20% OTM puts by allowing repeated 50-cent premium  | [H] A zero-DTE imbalance could spark a very short-term crash that reveals hidden malinvestment elsewhere","[""Charlie McElligott"", ""Chem Chim"", ""Chris Sidial"", ""Jame Kang"", ""Jim Kasang"", ""Mike Green""]",options,us,daily,adaptable
496,Late-19th-century neoclassical economics emerged by stripping politics out of political economy and recasting the economy as natural and eternal.,"This made economics appear like gravity, not history.",MARKET_STRUCTURE,"[""MARKET_STRUCTURE""]",medium,9,13,6,6,"[M] The Reconstruction Finance Corporation began in 1932 to reinforce capitalism and later spur developm | [M] Late-19th-century neoclassical economics emerged by stripping politics out of political economy and  | [M] Neoclassical economics assumes rational agents, full-employment equilibrium, and near-perfect knowle | [M] He says neoliberalism meant privatization, globalization, financialization, deregulation, labor libe | [M] Postwar economics became dominated by mathematicians and engineers, turning the economy into a machi","[""Chris Hughes"", ""Gary Gerstle"", ""Jamee Moudud"", ""Mark Blyth"", ""Neil Howe"", ""Stein Jacobson""]",unspecified,unspecified,unclear,unclear
497,"Local-currency EM debt has historically had lower correlation with US Treasuries, giving diversification benefits but adding currency-driven volatility.",FX moves create return dispersion versus developed bonds.,RISK,"[""STRATEGY"", ""MARKET_STRUCTURE"", ""RISK""]",medium,10,13,6,6,"[M] Local-currency EM debt has historically had lower correlation with US Treasuries, giving diversifica | [M] From 2003 to 2025, hard-currency sovereign, local-currency sovereign, and hard-currency corporate EM | [M] He says EM is more stable than 20-30 years ago because countries shifted financing toward local-curr | [M] He cites median emerging-market debt around 55-60% versus over 100% in advanced economies, with most | [M] Hard-currency sovereign credit quality improved from 2003 to 2013 but deteriorated after 2013.","[""Jim Bianco"", ""Matt Klein"", ""Nicholas Duhabni"", ""Patrick Boyle"", ""Unknown"", ""Warren Mosler""]",bonds,global,daily,adaptable
498,Quantum computing could give finance exponentially greater computing power than digital computers.,Quantum states encode many possibilities simultaneously.,TOOL,"[""STRATEGY"", ""MARKET_STRUCTURE"", ""TOOL"", ""RISK""]",high,8,13,6,6,"[H] Quantum computing could give finance exponentially greater computing power than digital computers. | [H] He says the NSA has invested at least $8 million in quantum computing cryptography. | [H] He cites a Google/NASA quantum computer and claims it solved a hard problem that would take classica | [M] Financial institutions have been entering the 'quantum ecosystem' through proof-of-concepts since ab | [M] He argues quantum finance began by re-expressing Black-Scholes as a Schrödinger equation, but a newe","[""David Orrell"", ""Dr. Araceli Benas-Gomez"", ""Dr. David Garvin"", ""Marcos L\u00f3pez de Prado"", ""Paul Wilmott"", ""Samit Ahlawat""]",multi,global,unclear,adaptable
499,"Average execution cost is measured as price paid minus arrival price, signed by buy or sell direction.",Signed slippage captures implementation shortfall consistently.,STRATEGY,"[""MICROSTRUCTURE"", ""STRATEGY"", ""MARKET_STRUCTURE"", ""RISK""]",high,12,13,6,10,"[H] Average execution cost is measured as price paid minus arrival price, signed by buy or sell directio | [M] Slippage is defined as the gap between expected and executed prices, driven by execution delays, vol | [M] He paid 21 bps in commissions and about 70 bps in slippage, for total trading costs of roughly 90 bp | [M] Latency is described as a key determinant of slippage, alongside volatility. | [M] Moritz planned to compare 2018 slippage market-by-market against 2017, 2016, and 2015 to detect dete","[""BNS Kumar"", ""Christian Westheide"", ""Jerry Parker, Moritz Ebert, Niels Kaastrup-Larsen"", ""Jose"", ""Marty Bergin"", ""Rob Carver""]",equities,europe,minute,unclear
500,"They explicitly model mean reversion in valuation multiples, using CAPE as price over average real 10-year earnings.",Valuations revert toward fair value over long horizons.,STRATEGY,"[""STRATEGY"", ""MARKET_STRUCTURE""]",medium,9,13,6,8,"[M] They explicitly model mean reversion in valuation multiples, using CAPE as price over average real 1 | [M] The speaker cites a 34-year chart showing Shiller CAPE and next-10-year CAGR are inversely related:  | [M] Schiller’s point was that when U.S. equities are expensive, cheap opportunities may exist in Russia, | [M] He says countries with CAPE below 10 historically earned about 17% per year over the next five years | [M] Use valuation ranking, especially 10-year CAPE, to tilt away from the U.S. toward cheaper countries;","[""Jack Bogle? / Ryan Kin? (Alpha Architect hosts)"", ""Jack Vogel, Ryan Kurlin, Jens"", ""Jim Masturzo"", ""Meb Faber"", ""Mo"", ""Rodrigo Gordillo""]",equities,global,monthly,adaptable
501,"Masters in statistics, Masters in finance, and CQF are presented as useful, but CFA is described as too fundamental and not quant-heavy.",Quant roles need statistical depth.,TOOL,"[""STRATEGY"", ""MARKET_STRUCTURE"", ""TOOL"", ""RISK""]",medium,9,13,6,10,"[M] Masters in statistics, Masters in finance, and CQF are presented as useful, but CFA is described as  | [M] He claims quant interviews combine coding, finance, and statistics, with coding at medium-to-hard Le | [M] He says modern quant hiring increasingly favors PhDs in hard sciences, computer science, statistics, | [L] Quant skills are in demand at banks' market-making and derivatives desks, not just hedge funds. | [L] He says the main challenge is translating theory into a real CV and job entry because he lacks finan","[""Dimitri"", ""Kaido Kid"", ""Kristof Leourox"", ""Michael DeAddio"", ""Unnamed speaker"", ""unknown""]",multi,global,unclear,direct
502,"Large changes in 10-K text predict negative future returns, future bankruptcies, and earnings misses.",Big disclosure changes signal bad underlying firm news.,STRATEGY,"[""STRATEGY"", ""RISK"", ""MICROSTRUCTURE"", ""MARKET_STRUCTURE"", ""ALT_DATA""]",high,9,13,6,6,"[H] Large changes in 10-K text predict negative future returns, future bankruptcies, and earnings misses | [H] Analyst optimism tends to fade near earnings dates, becoming slightly pessimistic by announcement ti | [H] Firms respond to better investor text tools by flooding filings with noise, shrinking signal-to-nois | [M] The study defines analyst silence as average days since the last report from any firm that covered t | [M] He argues quarterly reporting is expensive for public companies, but investors still need enough dis","[""Antti Ilmanen"", ""Jim Cramer"", ""Jose"", ""Lauren Cohen"", ""Unknown"", ""unknown""]",equities,us,daily,adaptable
503,"In macro, the speaker says he may only find about four good ideas a year, so unused capital pressure matters.",Investors still expect capital to stay deployed.,RISK,"[""STRATEGY"", ""RISK""]",high,9,12,6,11,"[H] In macro, the speaker says he may only find about four good ideas a year, so unused capital pressure | [H] He argues current underinvestment is creating a 'volatility trap' where higher prices reduce investm | [M] He emphasized opportunity cost: holding Bitcoin through a decline can leave gains stranded for month | [M] He warns reinvesting equity profits into FDs, real estate, debt, gold, or Bitcoin creates reinvestme | [M] He avoided keeping money in savings accounts, FDs, and index funds to stay fully invested in equitie","[""Akshat Shrivastava"", ""Clint Stone"", ""Jeff Currie"", ""Krishna Kumar"", ""Mark Rzepczynski"", ""Unknown""]",unspecified,global,unclear,adaptable
504,"In the finite-state continuous-time version, the Kolmogorov forward equation becomes a matrix generator equation for transition probabilities.",Matrix multiplication aggregates all intermediate states.,MARKET_STRUCTURE,"[""MARKET_STRUCTURE""]",low,11,12,6,9,"[L] In the finite-state continuous-time version, the Kolmogorov forward equation becomes a matrix genera | [L] A Markov process is defined by future values depending only on the current value, not the full past  | [L] The infinitesimal generator is presented as a local operator describing small-time changes in probab | [L] A stochastic process can be modeled as a probability distribution over paths, which is the formal vi | [L] The underlying probability space is the space of all possible paths, not points, so the distribution","[""Dr. Tom Starke"", ""Prof. Rajesh"", ""Professor"", ""Tom Starke"", ""polls"", ""unknown""]",unspecified,unspecified,unclear,unclear
505,"Net profit reportedly rose only from 429 to 596 over five years, which the speaker says is too small for a 4x stock move.",Earnings growth did not match valuation expansion.,RISK,"[""STRATEGY"", ""RISK""]",medium,12,12,6,12,"[M] He says IRCTC’s sales rose about 4x while net profit rose about 67x since 2013, but not fast enough  | [M] Trent is flagged as dangerous because it rose about 370% in 1.5 years while trading at PE 215 in a l | [M] For mature monopoly tech names like Adobe, focus on pullbacks rather than raw valuation levels. | [M] Net profit reportedly rose only from 429 to 596 over five years, which the speaker says is too small | [M] Polycab’s 20–25% drop is framed as a valuation correction after a multi-year 5x–6x run, not a busine","[""Akat"", ""Akshat Shrivastav"", ""Akshat Shrivastava"", ""Axhat"", ""Unknown"", ""null""]",equities,india,daily,direct
506,"He is bullish on unlisted stocks, especially mature pre-IPO names with a high probability of listing, because valuation is still relatively sensible.",Pre-IPO uncertainty discounts valuation before marketing alpha appears.,STRATEGY,"[""STRATEGY"", ""MARKET_STRUCTURE""]",medium,10,12,6,12,"[M] He says the ugliest deep-value stocks often perform best: money-losing firms and non-dividend payers | [M] He says the dot-com bust showed cash-rich but business-poor companies could still be attractive if b | [M] He looks for stocks with a visible problem or controversy that keeps most investors away. | [M] Jerry cites a backtest on bankrupt stocks showing trend-following made about the same money as on su | [M] He says chased stocks like Voltas are less attractive after a 50–60% run-up, while overlooked names ","[""Akat Sastav"", ""Akhat Goli"", ""Akshat Shrivastava"", ""Jerry Parker"", ""Tobias Carlisle"", ""akat""]",equities,india,unclear,direct
507,"He argues real estate is in an early multi-year upcycle and that paints, adhesives, and related stocks should benefit.",Construction activity lifts demand across linked sectors.,STRATEGY,"[""STRATEGY""]",medium,10,12,6,11,"[M] He argues real estate is in an early multi-year upcycle and that paints, adhesives, and related stoc | [M] He says zero rates boosted real estate because holding a mansion became nearly costless. | [M] Home decor stocks may benefit when money rotates from public-sector spending into private consumptio | [M] He prefers rent-generating real estate because indexation benefits were removed and high-inflation e | [L] A house should be judged by ROI, rental yield, and city growth prospects, not the buy-twice rule.","[""Akshat Shrivastava"", ""John Sim, Anthony Palone, Mike Reart"", ""Nassim Nicholas Taleb"", ""Pranjal Kamra / Rachana Ranade / host"", ""Saurabh Mukherjea"", ""Unknown""]",equities,india,daily,direct
508,"Cash-and-carry mechanically tethers deferred futures to prompt futures by buying spot, storing it, financing it, and selling deferred.",Arbitrage links spot and forward prices.,MARKET_STRUCTURE,"[""STRATEGY"", ""MARKET_STRUCTURE""]",high,8,12,6,8,"[H] Cash-and-carry mechanically tethers deferred futures to prompt futures by buying spot, storing it, f | [H] He buys physical rail cars of lumber, stores them dry, hedges the exposure, and waits for carry to p | [M] In futures, carry is the return earned if nothing moves as you roll down contango or roll up backwar | [M] If distant-month futures trade above front-month contracts, the speaker says carry is negative and t | [M] Managed futures are still mostly trend following, but many managers now add carry because it diversi","[""Adam Butler"", ""Benjamin Hoff"", ""Marat Molyboga"", ""Murat Sebert"", ""Nick Balas"", ""Stinson Dean""]",commodities,global,daily,unlikely
509,The central bank’s 2020-2022 pound support reportedly delayed adjustment and preceded $5 billion of capital flight.,Artificially strong FX invites exit when credibility breaks.,RISK,"[""STRATEGY"", ""MARKET_STRUCTURE"", ""RISK""]",medium,11,11,6,9,"[M] Sterling fell to about 1.05 before rebounding to about 1.22, illustrating an unusually large currenc | [M] The presenter concluded the effect is real and stable across time and assets, but still untradeable  | [M] Sterling looks vulnerable because higher-for-longer UK rates may force recession, while the dollar s | [M] Year-to-date FX attribution in the speaker's trend program is the worst in at least 25 years. | [M] Brexit wiped out about $2 trillion from global equity markets and the pound fell roughly 10% to arou","[""Alan Dunne"", ""Aoifinn Devitt"", ""Kuper Patel"", ""Nes Kelkar"", ""Nick Baltas"", ""Rob Carver""]",fx,egypt,daily,unlikely
510,The new German package includes a 500 billion euro infrastructure fund and states can borrow up to 0.35% of GDP.,Fiscal easing supports domestic demand and growth.,MARKET_STRUCTURE,"[""MARKET_STRUCTURE"", ""MACRO"", ""RISK""]",high,10,11,6,7,"[H] The new German package includes a 500 billion euro infrastructure fund and states can borrow up to 0 | [H] Germany’s combined fiscal shift could widen the deficit by 3% to 3.5% of GDP, pushing the total defi | [H] He argues the current German fiscal shift is larger than reunification when measured by multi-year d | [M] Germany’s debt brake blocks fiscal expansion because CDU/CSU, SPD, and Greens lack the two-thirds ma | [M] He says Germany left money on the table because borrowing costs were negative, yet officials still r","[""Alan Dunne"", ""David Woo"", ""George Caraveos"", ""Isabella Weber"", ""Matt Kleen"", ""Ozan Tarman""]",multi,europe,daily,unlikely
511,"Bear markets can be severe but often relatively short, like the 2008-09 crisis and the 2000-02 tech unwind.","Fast drawdowns require readiness, not complacency.",RISK,"[""STRATEGY"", ""MARKET_STRUCTURE"", ""RISK""]",medium,9,11,6,10,"[M] Bear markets can be severe but often relatively short, like the 2008-09 crisis and the 2000-02 tech  | [M] He claims W-shaped recoveries often precede bull runs and cites past examples from 2008–2012 and 201 | [M] He notes the V-shaped pandemic recovery was much faster than dot-com and GFC rebounds: 15 days to re | [M] The team expects possible 2008-like violent countertrend rallies during drawdowns even in a continui | [L] He contrasts W-shaped recoveries after 2008 with V-shaped rebounds in 2020 to argue this drawdown ma","[""Akshat"", ""Jerry Parker"", ""Maurice Siebert / Niels Kaastrup-Larsen"", ""Patrick Boyle"", ""Trent Webster, Jake Barton, Steven Wilson"", ""unknown""]",equities,global,daily,adaptable
512,"European power trading now centers on time spreads, location spreads, and searching for fair value.",Volatility creates relative mispricings across maturities and locations.,STRATEGY,"[""STRATEGY"", ""MARKET_STRUCTURE"", ""TOOL""]",medium,10,11,6,6,"[M] European power trading now centers on time spreads, location spreads, and searching for fair value. | [M] European power markets became more liquid in 2023-2024 as certainty grew over LNG and gas supply. | [M] In the US, algorithmic activity is strongest in PJM intraday, next-day, and next-month contracts. | [M] Algorithmic trading is concentrated in European power, gas, and emissions across intraday to calenda | [M] Competitive retail can lock customers into a 5-year fixed electricity price, insulating them from wh","[""Douglas Greenig"", ""Graham Robertson"", ""Jerry Parker, Moritz Eber, Neal Kastrup Larsson"", ""Lee Price / Chris Woo / Saad Kopic"", ""Travis Kavulla"", ""null""]",futures,europe,daily,unlikely
513,Home-country bias leaves Canadian clients with 85-90% in domestic stocks and bonds despite Canada being only 2-4% of global market cap.,Domestic portfolios embed a hidden single-country macro bet.,STRATEGY,"[""STRATEGY"", ""MARKET_STRUCTURE""]",medium,7,11,6,7,"[M] Home-country bias leaves Canadian clients with 85-90% in domestic stocks and bonds despite Canada be | [M] Canada’s pension managers were criticized for holding only 4% Canadian equities and 96% other, while | [M] Canadian ETF adoption may lag the U.S. because Canada lacks the same tax benefits and platform-cost  | [M] Canadian advisors can create tax alpha by wrapping U.S. ETFs inside Canadian ETFs for non-Canadian e | [L] The speaker claims U.S. market cap is 56% of global GDP, while Canada is 3.3% of global GDP, implyin","[""Adam Butler"", ""Adam Butler / Mike Philbrick / Rodrigo Gordillo"", ""Jeff Weniger"", ""Patrick Boyle"", ""Riccardo Gambineri and Frank Seneco"", ""Rodrigo Gordillo""]",multi,canada,daily,adaptable
514,"He argues US and China are aligning around AI-first industrial policy, while India is not yet doing comparable work.",AI policy shifts capital and industrial competitiveness.,MARKET_STRUCTURE,"[""STRATEGY"", ""MARKET_STRUCTURE""]",medium,10,11,6,10,"[M] He argues US and China are aligning around AI-first industrial policy, while India is not yet doing  | [M] GenAI is framed as six investable layers: silicon, LLM operators, hyperscalers, cloud infrastructure | [M] He argues India’s opportunity is unorganized-to-organized formalization, while the US opportunity is | [M] Big tech growth is driven by the digitization of the economy and firms needing AI and software infra | [L] The speaker says many future technologies will emerge through unexpected synergies, not single stand","[""Akshat Shrivastava"", ""Deborah Cant"", ""Jack Adon / Mark Murphy / Gokul Haran"", ""Mark Mills"", ""Michael Cembalest"", ""null""]",multi,global,unclear,direct
515,"He treats the 1995-2007 period as backtest-only, 2007-2015 as live trading with $25-$100 million AUM, and 2014 onward as unchanged forward test.",Separates live evidence from historical simulation.,MARKET_STRUCTURE,"[""MARKET_STRUCTURE""]",high,8,10,6,10,"[H] He treats the 1995-2007 period as backtest-only, 2007-2015 as live trading with $25-$100 million AUM | [M] Backtests typically use OHLC bar data, while simulation and live trading rely on tick and often leve | [M] They test new markets with proprietary capital first and only add them if liquidity is sufficient an | [M] For off-platform submissions, Quintopian ingests a historical portfolio holdings CSV, checks univers | [L] The lecture uses a dynamic Q500 US universe built from pipeline filters, not a fixed 1500-stock list","[""Bastian Bolesta"", ""Dr. Vesna Straser"", ""Niels Kaastrup-Larsen"", ""Quantopian Quant Radio hosts"", ""Robert Petty Rudy"", ""Song Lee Seong""]",futures,global,daily,unlikely
516,"He estimates the US housing shortage at roughly 2 million to 6 million units, including single-family and multifamily.",Years of underbuilding left structural undersupply.,MARKET_STRUCTURE,"[""MARKET_STRUCTURE""]",medium,4,10,6,7,"[M] He estimates the US housing shortage at roughly 2 million to 6 million units, including single-famil | [M] About eight million homes, roughly 9% of U.S. single-family stock, moved from resale into rental/inv | [M] The median American home is 1,650 square feet, about 75% or 700 square feet larger than the average  | [L] The U.S. has about 145 million housing units worth over $40 trillion, with roughly two-thirds owner-","[""Anthony Palone and John Sim"", ""Daryl Fairweather"", ""Jim Egan"", ""John Sim, Anthony Palone, Mike Reart"", ""Mike Simonson"", ""Tony Palone""]",equities,us,annual,adaptable
517,"High-yield mutual funds saw outflows of over $12 billion over an eight-week period, contributing to a weaker primary market.",Outflows shrink buy-side demand for new issues.,MARKET_STRUCTURE,"[""MARKET_STRUCTURE"", ""RISK"", ""ALT_DATA""]",high,9,10,6,8,"[H] High-yield mutual funds saw outflows of over $12 billion over an eight-week period, contributing to  | [H] He finds global mutual fund and ETF inflows are strongly linked to central bank reserve changes, wit | [H] High-yield mutual fund cash balances fell below the long-term average to about 3.75% by end-Q3. | [M] He says DIIs are rotating into mid- and small-cap fund categories, while large-cap mutual fund retur | [M] He cites a Deutsche Bank chart showing 2024 equity fund inflows as a percentage of assets are far ab","[""Akshat Shrivastava"", ""Brian Trosi"", ""Matt King"", ""Neils Krup Larson"", ""Richard Irwin"", ""Todd Rothman""]",bonds,us,weekly,adaptable
518,"The current Biden antitrust agencies are described as unusually aggressive, with a shift toward more monopolization cases after near-zero filings.",Stricter enforcement can constrain pricing power.,MARKET_STRUCTURE,"[""MARKET_STRUCTURE"", ""RISK""]",medium,8,10,6,6,"[M] The current Biden antitrust agencies are described as unusually aggressive, with a shift toward more | [M] U.S. antitrust jurisdiction can reach foreign executives if conduct has a direct and foreseeable eff | [M] The Justice Department examined ATPCO as a collusion operation but allowed it to continue in the 199 | [M] U.S. antitrust law treats high prices as a harm, targeting price fixing, bid rigging, monopolization | [L] He argues the FTC adds value by combining consumer protection and antitrust in one agency, letting i","[""Andrew Ferguson"", ""Craig Siebold"", ""Jonathan Caner"", ""Jonathan Kanter"", ""Lindsay Owens and David Dayan"", ""Patrick Boyle""]",multi,us,unclear,adaptable
519,They validate bank strategies by testing robustness across crises like 2008 and COVID-19 and by perturbing parameters for fragility.,Stress periods expose regime dependence and overfitting.,RISK,"[""RISK""]",high,8,10,6,10,"[H] They validate bank strategies by testing robustness across crises like 2008 and COVID-19 and by pert | [H] He treats one year across 60 markets as adding roughly 60 years of alternative market data to stress | [H] He warns backtests miss risk because history shows what happened, not what could have happened, espe | [M] Backtests must be stress-tested with what-if scenarios because fixed-income regimes in 2023 had no p | [M] Backtesting only the last few years can be meaningless because recent regimes may not represent prio","[""Brett Steenbarger"", ""David Dredge"", ""Hye-Won"", ""Jessica Stauth"", ""Richard Brennan"", ""Roxton McNeal and Siddharth Sethi""]",multi,global,unclear,unlikely
520,Natural gas is the archetypal seasonal market where winter drawdowns can leave the market short of inventory by March.,Seasonal storage depletion changes forward pricing.,MARKET_STRUCTURE,"[""STRATEGY"", ""MARKET_STRUCTURE""]",high,8,10,6,8,"[H] The speaker excludes the April 20, 2020 negative WTI print from price series because it is an anomal | [H] Natural gas is the archetypal seasonal market where winter drawdowns can leave the market short of i | [M] US natural gas production is down 2% to 3% year on year after sustained month-on-month declines. | [M] In commodities, colder-than-expected weather and shallow natural gas inventories disrupted curve tra | [M] Net gas futures rose 71% because a cold weather front was expected across the US starting in Texas.","[""Adam Rosenke"", ""Benjamin Hoff"", ""Michael Krause"", ""Nick Baltas"", ""Rory Johnston"", ""Yorov Git""]",commodities,north america,daily,unlikely
521,"One cluster is option-market sentiment, another is fast momentum, and others capture curve dynamics across commodities, fixed income, and currencies.",Different themes reflect different forecasting structures.,STRATEGY,"[""STRATEGY"", ""MARKET_STRUCTURE"", ""ALT_DATA"", ""RISK""]",high,9,10,6,9,"[H] One cluster is option-market sentiment, another is fast momentum, and others capture curve dynamics  | [H] He blends option markets across commodities, bonds, and equities to infer whether the regime is soft | [H] The variable set includes inflation, industrial production, credit spread, term spread, commodity in | [M] The model used VIX, yield spread, and interest rates as economic indicators feeding portfolio decisi | [M] For recession prediction, the episode recommends complementing stock indices with yield spreads and ","[""Alfonso Peccatiello"", ""Asif Noor"", ""Dr. Sameena Shah"", ""Petra Bakosova"", ""Quant Radio"", ""unknown""]",multi,global,unclear,adaptable
522,"During the 2007-2009 financial crisis, the trend factor had a positive average monthly return of 0.75% while the market and other factors lost money.",Multi-horizon trend exposure appears defensive in stress regimes.,RISK,"[""RISK""]",medium,9,10,6,10,"[M] During the 2007-2009 financial crisis, the trend factor had a positive average monthly return of 0.7 | [M] During financial turmoil, especially the 2008 crisis, more characteristics became irreplaceable as t | [M] Trend models were not necessarily broken after the GFC; the main problem was a lack of opportunity i | [M] ML models trained on calm periods underperform significantly during recessions because volatility sp | [M] Pure models trained on recent calm history failed in 2022 because data drift and concept drift made ","[""Harold de Boer"", ""Mark Rzepczynski"", ""Patrick Boyle"", ""Unknown"", ""Victor"", ""unknown""]",equities,us,monthly,adaptable
523,"Retail and institutional markets are blurring, especially through ETFs and managed accounts, with retail innovation often arriving first.",Retail channels accelerate adoption of electronic tools and pricing.,MARKET_STRUCTURE,"[""MARKET_STRUCTURE""]",high,7,10,6,7,"[H] Retail and institutional markets are blurring, especially through ETFs and managed accounts, with re | [M] India retail trading accounts grew over 600% in cash equities and 800% in futures and options over 1 | [M] The speaker claims retail participation in India’s algo trading is only about 2%, despite overall ma | [M] India's biometric mapping can approve equity account opening in minutes, and instant payments link b | [L] Retail investors across China, Korea, India, and Taiwan are building algorithmic strategies on phone","[""Claire Witz"", ""Eddie Wen"", ""Eloise Goulder / Eda Low / Luca Rero"", ""Nathan"", ""Nitesh Khandelwal"", ""null""]",equities,global,daily,adaptable
524,He claimed black-Scholes can be derived without probabilistic assumptions by treating pricing as a game between a price setter and an arbitrageur.,Game-theoretic interaction replaces stochastic modeling.,MARKET_STRUCTURE,"[""MARKET_STRUCTURE""]",high,8,9,6,9,"[H] He claimed black-Scholes can be derived without probabilistic assumptions by treating pricing as a g | [M] He says the derivative market is not a probability device because recalibration is built into tradin | [M] If Black-Scholes volatility is made time-dependent, the same PDE and expectation logic can be repeat | [M] Black-Scholes is a robust but incomplete model that became a technology for valuing options under si | [L] Differential equations are used to model stock, option, and bank-account values, and the speaker lin","[""Dr. Alonso Pe\u00f1a"", ""Ellie"", ""Michael Kearns"", ""Myron Scholes"", ""Professor"", ""Quan PI""]",options,global,unclear,unlikely
525,"He cites work showing 96% of companies that ever went public returned less than T-bills, while 4% created 100% of stock-market wealth over 100 years.","Return distributions are highly skewed, not bell-shaped.",MARKET_STRUCTURE,"[""MARKET_STRUCTURE""]",high,8,9,6,7,"[H] He cites work showing 96% of companies that ever went public returned less than T-bills, while 4% cr | [M] The biggest-vs-smallest stock outperformance clusters around technology revolutions, including 1945- | [M] Over 100 years, the largest stocks underperformed the market while smaller stocks outperformed, with | [M] Those 41 outperformers beat the index in a median 11 of 21 years, with the best only 13 of 21 years. | [L] They claim ten US industry groups produce about 1.9 independent sources of return after accounting f","[""Cole Wilcox"", ""Corey Hofstein"", ""Jerry Parker"", ""Patrick Boyle"", ""Rodrigo Gore"", ""Tobias Carlisle""]",equities,global,monthly,adaptable
526,"MSCI ESG scores had effectively zero correlation with Glassdoor employee satisfaction, while MSCI S scores correlated only about 7–8%.",Current ESG metrics poorly measure workplace quality.,ALT_DATA,"[""ALT_DATA""]",medium,7,9,6,7,"[M] MSCI ESG scores had effectively zero correlation with Glassdoor employee satisfaction, while MSCI S  | [M] True Value Labs builds ESG signals from third-party text, not company disclosures, scanning news, NG | [M] MSCI and Sustainalytics ESG scores are becoming more continuous, roughly 0–100, and more comparable  | [M] Their ESG process uses a proprietary tool called “start” with 38 data points from nine providers to  | [M] They use qualitative and quantitative data, but avoid over-quantifying ESG where the data is not yet","[""Aaron Yoon"", ""Andy Howard"", ""Dr. Stephen Malinak"", ""Elena Elzinga"", ""Gerard Francis"", ""Maxim Carak""]",equities,us,daily,adaptable
527,The intended 351 use case is transforming concentrated low-basis stock into diversified equity exposure without selling outright.,It reduces uncompensated single-name risk while deferring tax.,STRATEGY,"[""STRATEGY"", ""MARKET_STRUCTURE"", ""RISK""]",medium,8,9,6,6,"[M] The intended 351 use case is transforming concentrated low-basis stock into diversified equity expos | [M] Alpha Architect has been tax-first from the beginning and used direct-indexing-style loss harvesting | [M] Index funds may realize unwanted capital gains taxes because selling appreciated holdings to buy Tes | [L] Exchange funds accept concentrated stock contributions but impose a seven-year lockup, fees, and lim | [L] He says January-March tax-loss harvesting by big investors may be reversing into the market over the","[""Akshat Shrivastava"", ""Patrick Boyle"", ""Unknown"", ""Wes Gray"", ""Wes Gray and Jack Fogle"", ""West Gray and Jack Vogel""]",equities,us,unclear,adaptable
528,"If most returns are common returns rather than specific returns, the factor is not very unique.",Known risk-factor loads reduce idiosyncratic alpha.,RISK,"[""MICROSTRUCTURE"", ""STRATEGY"", ""RISK""]",high,8,9,6,9,"[H] He argues an ideal algorithm should have near-zero beta to many factors, with returns coming entirel | [H] If most returns are common returns rather than specific returns, the factor is not very unique. | [M] Adding factors makes the portfolio less transparent and can turn a simple model into a black box. | [M] He says a factor should be reconstructible as a low-idiosyncratic-risk portfolio, unlike a small the | [M] A strategy with high exposure to one factor is dependent on that factor and can be hurt badly if tha","[""Alejandro Rodriguez Dom\u00ednguez"", ""Chris Covington"", ""Giuseppe Paleologo"", ""Jason Buck"", ""Nick Baltas"", ""Thomas Wiki""]",equities,unspecified,daily,adaptable
529,Japan is the most interesting lighter-positioned region because hedge-fund buying of its prior underperformance has worked well several times in recent years.,Mean reversion plus improving flows can lift laggards.,MARKET_STRUCTURE,"[""STRATEGY"", ""MARKET_STRUCTURE"", ""ALT_DATA""]",medium,6,9,6,7,"[M] Japan is the most interesting lighter-positioned region because hedge-fund buying of its prior under | [M] Long-short ratios in Japanese equities were in the 80th percentile and net exposures were around 1.3 | [M] DBMF’s outperformance came mainly from simplicity, short lookback de-risking, and idiosyncratic expo | [M] In China, many quant funds used SMB long-small-cap/short-large-cap positioning, typically hedged wit | [M] Timefolio Singapore runs a fundamental Pan-Asia equity long-short, low-net strategy focused on suppl","[""Andrew Beer"", ""Andrew Tyler and John Schlagel"", ""Dr. Ernest Chan"", ""Jay Lee"", ""John Schlagel"", ""Kupa Patel""]",equities,asia,daily,unlikely
